eNodeB Name,Cell Name,LocalCell Id,selected_kpi_name,target_kpi_column,kpi_category,selected_threshold_%,recent_period,baseline_period,recent_avg_kpi,baseline_avg_kpi,kpi_degradation_ratio_%,number_of_detected_causes,all_detected_causes,main_root_cause_category,main_cause_counter_or_kpi,main_degradation_reason,main_recommended_action,all_recommended_actions
LCAIN10581,LCAIN10581-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,0.34924999999999995,7.30525,96.68495295864682,5,"L.CA.UE.Avg: recent=0.08, baseline=0.46, change=82.84% | L.CA.DLSCell.Add.Att: recent=238.50, baseline=1357.00, change=82.42% | L.CA.DLSCell.Act.Att: recent=296.75, baseline=988.00, change=69.96% | DL_CCE_AllocFail (%): recent=0.06, baseline=0.05, change=26.29% | DL Traffic QCI-9: recent=0.34, baseline=0.69, change=49.93%",CA User Drop,L.CA.UE.Avg,Average CA users decreased.,"Check CA activation, SCell availability, and CA parameters.","Check CA activation, SCell availability, and CA parameters. | Check CA configuration and inter-frequency measurements. | Check SCell configuration, CA licensing, and secondary carriers. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check packet data service, APN/data service, user demand, and internet traffic trend."
LCAIN11826,LCAIN11826-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,6.232799999999999,27.675475,91.15189460513054,10,"(HU) Cell Unavail Time (s): recent=18240.00, baseline=1988.75, change=817.16% | DL RBLER: recent=0.44, baseline=0.18, change=148.90% | DL_CCE_AllocFail (%): recent=0.32, baseline=0.20, change=60.59% | DL Traffic QCI-9: recent=6.23, baseline=27.67, change=77.49% | Availability: recent=78.89, baseline=97.70, change=19.25%",Cell Unavailability,(HU) Cell Unavail Time (s),Cell unavailable time increased.,"Check site outage, power issue, transmission issue, S1 failure, and alarms.","Check site outage, power issue, transmission issue, S1 failure, and alarms. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check alarms, S1 issue, manual outage, system outage, and site availability."
LCAIN10119,LCAIN10119-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,6.8454250000000005,51.719125000000005,87.36020426284225,5,"DL RBLER: recent=0.24, baseline=0.17, change=47.51% | DL Traffic QCI-9: recent=4.94, baseline=22.49, change=78.02% | L.CA.UE.Avg: recent=3.71, baseline=5.97, change=37.80% | TA Weighted Avg (meter): recent=479.13, baseline=385.74, change=24.21% | (HU) PDSCH MCS: recent=10.81, baseline=13.64, change=20.73%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters. | Check coverage shift, antenna tilt, and traffic migration. | Check CQI, SINR, interference, antenna direction, and coverage."
LCAIN10119,LCAIN10119-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,2.5051,14.713925,85.23252059619713,5,"6.6-14 km: recent=1.25, baseline=0.25, change=400.00% | DL RBLER: recent=0.39, baseline=0.25, change=55.28% | DL Traffic QCI-9: recent=2.48, baseline=6.89, change=64.05% | L.CA.UE.Avg: recent=0.61, baseline=1.49, change=59.27% | L.CA.DLSCell.Act.Att: recent=2722.50, baseline=3655.00, change=25.51%",Extended Coverage Issue,6.6-14 km,High TA bin indicates users at cell edge or beyond planned coverage.,"Check coverage extension, overshooting, pilot pollution, and cell size.","Check coverage extension, overshooting, pilot pollution, and cell size. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters. | Check SCell configuration, CA licensing, and secondary carriers."
ICAIN12934,ICAIN12934-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,0.6906749999999999,3.780425,83.63139180822978,3,"DL_CCE_AllocFail (%): recent=0.06, baseline=0.01, change=327.78% | DL RBLER: recent=0.19, baseline=0.06, change=208.40% | (HU) DL IBLER(%): recent=5.77, baseline=2.35, change=145.22%",Control Channel Congestion,DL_CCE_AllocFail (%),DL CCE allocation failure increased - directly blocks scheduling.,"Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical.","Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check interference, CQI, MCS, antenna tilt, and DL power."
LCAIN12584,LCAIN12584-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,6.5825499999999995,36.38045,82.86041115063462,6,"DL RBLER: recent=0.69, baseline=0.06, change=979.66% | 3.5-6.6 km: recent=19.75, baseline=3.75, change=426.67% | DL Traffic QCI-9: recent=1.31, baseline=5.32, change=75.34% | (HU) Cell DL Average Throughput (Mbps): recent=15.59, baseline=20.64, change=24.50% | TA Weighted Avg (meter): recent=1215.70, baseline=977.11, change=24.42%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage, cell dominance, and neighbor relationships. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check coverage shift, antenna tilt, and traffic migration."
LCAIN10115,LCAIN10115-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,7.416625000000001,39.393275,82.04505572950387,3,"(HU) Cell DL Average Throughput (Mbps): recent=11.64, baseline=18.37, change=36.63% | DL RBLER: recent=0.11, baseline=0.09, change=23.01% | (HU) PDSCH MCS: recent=11.07, baseline=14.82, change=25.30%",DL Throughput Degradation,(HU) Cell DL Average Throughput (Mbps),Cell DL throughput decreased.,"Check DL scheduler, bandwidth, CA activation, load balancing, and congestion.","Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CQI, SINR, interference, antenna direction, and coverage."
LCAIN12838,LCAIN12838-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,3.61195,13.2256,80.6005431276844,7,"DL RBLER: recent=0.33, baseline=0.15, change=122.75% | L.CA.UE.Avg: recent=0.12, baseline=0.28, change=56.09% | L.CA.DLSCell.Act.Att: recent=598.75, baseline=1223.25, change=51.05% | (HU) Cell DL Average Throughput (Mbps): recent=14.01, baseline=19.90, change=29.60% | L.CA.DLSCell.Add.Att: recent=498.50, baseline=872.25, change=42.85%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CA activation, SCell availability, and CA parameters. | Check SCell configuration, CA licensing, and secondary carriers. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check CA configuration and inter-frequency measurements."
LCAIN10650_Site_0650,LCAIN10650-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,0.45375,2.357,79.13304605379817,5,"DL RBLER: recent=0.51, baseline=0.14, change=255.50% | DL_CCE_AllocFail (%): recent=0.06, baseline=0.03, change=104.88% | (HU)CEU Cell Downlink Average Throughput: recent=4.68, baseline=7.67, change=38.97% | DL Traffic QCI-9: recent=0.35, baseline=0.67, change=47.91% | (HU) Cell DL Average Throughput (Mbps): recent=12.88, baseline=17.08, change=24.63%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check CEU scheduling, cell edge SINR, and coverage. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion."
LCAIN14000,LCAIN14000-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-15 to 2026-05-18,2026-05-08 to 2026-05-11,0.38882500000000003,1.756275,78.59616860168845,7,"DL RBLER: recent=0.56, baseline=0.18, change=206.65% | L.CA.DLSCell.Add.Att: recent=144.75, baseline=1319.25, change=89.03% | L.CA.DLSCell.Act.Att: recent=337.50, baseline=1887.75, change=82.12% | (HU) Cell DL Average Throughput (Mbps): recent=8.43, baseline=13.62, change=38.08% | L.CA.UE.Avg: recent=0.11, baseline=0.20, change=46.96%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CA configuration and inter-frequency measurements. | Check SCell configuration, CA licensing, and secondary carriers. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check CA activation, SCell availability, and CA parameters."
